Code postal 2022;Libellé poste;Population 2019 desservie par le code postal, au minimum (en ne comptabilisant aucune commune multidistribuée);Population 2019 desservie par le code postal, au maximum (en comptabilisant toutes les communes multidistribuée);Code géographique PMSI 2022;Population 2019 desservie par le code géo PMSI
88340;LE VAL-D'AJOL; 4 118; 4 118;88340; 4 118
88350;LIFFOL-LE-GRAND; 3 035; 3 035;88350; 3 035
88360;RUPT-SUR-MOSELLE; 4 254; 4 254;88360; 4 254
88370;PLOMBIÈRES-LES-BAINS; 2 585; 2 585;88370; 2 585
88380;ARCHES; 2 739; 2 739;88380; 2 739
88390;UXEGNEY; 9 366; 9 366;88390; 9 366
88400;GÉRARDMER; 9 619; 9 619;88400; 9 619
88410;MONTHUREUX-SUR-SAÔNE; 2 323; 2 323;88410; 2 323
88420;MOYENMOUTIER; 3 089; 3 089;88420; 3 089
88430;CORCIEUX; 3 353; 3 353;88430; 3 353
88440;NOMEXY; 2 526; 2 526;88440; 2 526
88450;VINCEY; 3 131; 3 131;88450; 3 131
88460;CHENIMÉNIL; 4 206; 4 206;88460; 4 206
88470;SAINT-MICHEL-SUR-MEURTHE; 4 345; 4 345;88470; 4 345
88480;ÉTIVAL-CLAIREFONTAINE; 3 128; 3 128;88480; 3 128
88490;PROVENCHÈRES-ET-COLROY; 2 747; 2 747;88490; 2 747
88500;MIRECOURT; 11 901; 11 901;88500; 11 901
88510;ÉLOYES; 3 122; 3 122;88510; 3 122
88520;BAN-DE-LAVELINE; 3 026; 3 026;88520; 3 026
88530;LE THOLY; 2 075; 2 075;88530; 2 075
88540;BUSSANG; 1 349; 1 349;88540; 1 349
88550;POUXEUX; 2 458; 2 458;88550; 2 458
88560;SAINT-MAURICE-SUR-MOSELLE; 1 367; 1 367;88560; 1 367
88580;SAULCY-SUR-MEURTHE; 2 328; 2 328;88580; 2 328
88600;BRUYÈRES; 14 249; 14 249;88600; 14 249
88630;COUSSEY; 3 318; 3 318;88630; 3 318
88640;GRANGES-AUMONTZEY; 3 630; 3 630;88640; 3 630
88650;ANOULD; 5 797; 5 797;88650; 5 797
88700;RAMBERVILLERS; 13 498; 13 498;88700; 13 498
88800;VITTEL; 8 182; 8 182;88800; 8 182
89000;AUXERRE; 4 483; 38 934;89C04; 46 288
89100;SENS; 48 301; 48 301;89100; 48 301
89110;MONTHOLON; 3 948; 8 559;89C03; 7 487
89113;CHARBUY; 3 405; 5 160;89113; 5 160
89116;LA CELLE-SAINT-CYR; 2 100; 2 100;89116; 2 100
89120;CHARNY ORÉE DE PUISAYE; 4 815; 4 815;89120; 4 815
89130;TOUCY; 5 045; 5 045;89130; 5 045
89140;PONT-SUR-YONNE; 14 668; 14 668;89140; 14 668
89144;LIGNY-LE-CHÂTEL; 1 751; 1 751;89144; 1 751
89150;SAINT-VALÉRIEN; 7 849; 7 849;89150; 7 849
89160;ANCY-LE-FRANC; 3 385; 3 385;89160; 3 385
89170;SAINT-FARGEAU; 2 313; 2 313;89170; 2 313
89190;VILLENEUVE-L'ARCHEVÊQUE; 4 074; 5 112;89190; 4 074
89200;AVALLON; 11 374; 11 374;89200; 11 374
89210;BRIENON-SUR-ARMANÇON; 5 950; 5 950;89210; 5 950
89220;BLÉNEAU; 2 665; 2 665;89220; 2 665
89230;PONTIGNY; 2 541; 2 541;89230; 2 541
89240;CHEVANNES; 9 741; 9 741;89240; 9 741
89250;GURGY; 5 895; 5 895;89250; 5 895
89260;THORIGNY-SUR-OREUSE; 3 657; 3 657;89260; 3 657
89270;VERMENTON; 3 074; 3 074;89270; 3 074
89290;VENOY; 7 354; 41 805;89C04; 46 288
89300;JOIGNY; 12 457; 12 457;89300; 12 457
89310;NOYERS; 2 547; 2 547;89310; 2 547
89320;LES VALLÉES DE LA VANNE; 3 945; 4 983;89320; 4 983
89330;SAINT-JULIEN-DU-SAULT; 4 359; 4 359;89330; 4 359
89340;VILLENEUVE-LA-GUYARD; 9 045; 9 045;89340; 9 045
89350;CHAMPIGNELLES; 1 493; 1 493;89350; 1 493
89360;FLOGNY-LA-CHAPELLE; 3 015; 3 015;89360; 3 015
89380;APPOIGNY; 3 245; 3 245;89380; 3 245
89390;RAVIÈRES; 1 644; 1 644;89390; 1 644
89400;MIGENNES; 16 988; 16 988;89400; 16 988
89410;CÉZY; 1 625; 1 625;89410; 1 625
89420;GUILLON-TERRE-PLAINE; 2 851; 2 851;89420; 2 851
89430;TANLAY; 1 385; 1 385;89C02; 2 051
89440;JOUX-LA-VILLE; 3 333; 3 333;89440; 3 333
89450;VÉZELAY; 1 858; 1 858;89450; 1 858
89460;DEUX RIVIÈRES; 2 100; 2 100;89460; 2 100
89470;MONÉTEAU; 4 125; 4 125;89470; 4 125
89480;ÉTAIS-LA-SAUVIN; 2 184; 2 184;89480; 2 184
89500;VILLENEUVE-SUR-YONNE; 11 502; 11 502;89500; 11 502
89510;VÉRON; 2 988; 2 988;89510; 2 988
89520;TREIGNY-PERREUSE-SAINTE-COLOMBE; 4 594; 4 594;89520; 4 594
89530;SAINT-BRIS-LE-VINEUX; 1 366; 1 366;89530; 1 366
89550;HÉRY; 1 786; 1 786;89550; 1 786
89560;COURSON-LES-CARRIÈRES; 3 068; 3 068;89560; 3 068
89570;NEUVY-SAUTOUR; 2 585; 2 585;89C01; 3 457
89580;COULANGES-LA-VINEUSE; 3 241; 3 241;89580; 3 241
89600;SAINT-FLORENTIN; 6 849; 6 849;89600; 6 849
89630;QUARRÉ-LES-TOMBES; 1 945; 1 945;89630; 1 945
89660;CHÂTEL-CENSOIR; 2 252; 2 252;89660; 2 252
89690;CHÉROY; 1 676; 1 676;89690; 1 676
89700;TONNERRE; 7 215; 7 215;89700; 7 215
89710;SENAN;  683; 3 539;89C03; 7 487
89740;CRUZY-LE-CHÂTEL;  666;  666;89C02; 2 051
89770;CHAILLEY;  872;  872;89C01; 3 457
89800;CHABLIS; 5 732; 5 732;89800; 5 732
90000;BELFORT; 46 443; 46 443;90000; 46 443
90100;DELLE; 13 140; 13 140;90C03; 13 916
90110;ROUGEMONT-LE-CHÂTEAU; 2 965; 2 965;90C01; 3 734
90120;MÉZIRÉ; 2 384; 2 384;90120; 2 384
90130;MONTREUX-CHÂTEAU; 1 744; 1 744;90130; 1 744
90140;BOUROGNE; 3 530; 3 530;90140; 3 530
90150;FOUSSEMAGNE; 4 994; 4 994;90150; 4 994
90160;BESSONCOURT; 3 216; 3 216;90160; 3 216
90170;ÉTUEFFONT; 2 376; 2 376;90170; 2 376
90200;GIROMAGNY; 7 125; 7 125;90200; 7 125
90300;VALDOIE; 14 702; 14 702;90300; 14 702
90330;CHAUX; 1 164; 1 164;90C02; 2 204
90340;CHÈVREMONT; 1 994; 1 994;90340; 1 994
90350;ÉVETTE-SALBERT; 2 032; 2 032;90350; 2 032
90360;LACHAPELLE-SOUS-ROUGEMONT;  769;  769;90C01; 3 734
90370;RÉCHÉSY;  776;  776;90C03; 13 916
90380;ROPPE; 1 040; 1 040;90C02; 2 204
90400;DANJOUTIN; 10 543; 10 543;90400; 10 543
90500;BEAUCOURT; 5 414; 5 414;90500; 5 414
90600;GRANDVILLARS; 3 003; 3 003;90600; 3 003
90700;CHÂTENOIS-LES-FORGES; 2 667; 2 667;90700; 2 667
90800;BAVILLIERS; 5 976; 5 976;90800; 5 976
90850;ESSERT; 3 321; 3 321;90850; 3 321
91000;ÉVRY-COURCOURONNES;  0; 66 851;91C06; 66 851
91070;BONDOUFLE; 10 046; 10 046;91070; 10 046
91080;ÉVRY-COURCOURONNES;  0; 66 851;91C06; 66 851
