Code postal 2022;Libellé poste;Code géographique PMSI 2022;latitude;longitude
09160;PRAT-BONREPAUX;09160;43.0333;1.0388
09190;LORP-SENTARAILLE;09190;43.0205;1.121525
09200;SAINT-GIRONS;09200;42.9619;1.1621181818181818
09210;LÉZAT-SUR-LÈZE;09210;43.2762;1.3664
09220;VAL-DE-SOS;09220;42.7956;1.51989
09230;SAINTE-CROIX-VOLVESTRE;09230;43.0928;1.149166666666667
09240;LA BASTIDE-DE-SÉROU;09240;43.0251;1.4185461538461537
09250;LUZENAC;09250;42.769;1.7554454545454543
09270;MAZÈRES;09270;43.2517;1.6782
09290;LE MAS-D'AZIL;09290;43.0809;1.3545
09300;LAVELANET;09300;42.904;1.8182863636363635
09310;LES CABANNES;09310;42.8002;1.6846357142857145
09320;MASSAT;09320;42.9237;1.3152333333333333
09330;MONTGAILLARD;09330;42.9354;1.6335
09340;VERNIOLLE;09340;43.0818;1.648
09350;DAUMAZAN-SUR-ARIZE;09350;43.0996;1.3054454545454546
09390;L'HOSPITALET-PRÈS-L'ANDORRE;09C01;42.5882;1.7983
09400;TARASCON-SUR-ARIÈGE;09400;42.8783;1.594665
09420;RIMONT;09420;43.0008;1.30792
09460;QUÉRIGUT;09C01;42.6988;2.0835142857142857
09500;MIREPOIX;09500;43.0374;1.8560318181818185
09600;LAROQUE-D'OLMES;09600;42.9887;1.8808384615384617
09700;SAVERDUN;09700;43.1433;1.580969230769231
09800;CASTILLON-EN-COUSERANS;09800;42.9652;0.9883846153846154
10000;TROYES;10000;48.3007;4.0852
10100;ROMILLY-SUR-SEINE;10100;48.4842;3.681755555555556
10110;BAR-SUR-SEINE;10110;48.0546;4.427104166666667
10120;SAINT-ANDRÉ-LES-VERGERS;10120;48.2853;4.028475
10130;ERVY-LE-CHÂTEL;10130;48.0412;3.9135315789473686
10140;VENDEUVRE-SUR-BARSE;10140;48.1952;4.493918181818182
10150;PONT-SAINTE-MARIE;10150;48.4448;4.123245454545454
10160;AIX-VILLEMAUR-PÂLIS;10C01;48.199;3.7215
10170;MÉRY-SUR-SEINE;10170;48.5598;3.93295
10180;SAINT-LYÉ;10180;48.365;4.0144
10190;ESTISSAC;10C01;48.2219;3.828793333333333
10200;BAR-SUR-AUBE;10200;48.2666;4.711772222222222
10210;CHAOURCE;10210;47.9583;4.122552173913044
10220;PINEY;10220;48.3944;4.28881
10230;MAILLY-LE-CAMP;10230;48.6653;4.213
10240;RAMERUPT;10240;48.5497;4.328352941176471
10250;MUSSY-SUR-SEINE;10250;47.9779;4.4517
10260;SAINT-PARRES-LÈS-VAUDES;10260;48.1433;4.24474
10270;LUSIGNY-SUR-BARSE;10270;48.2673;4.239525
10280;SAINT-MESMIN;10280;48.4432;3.9270666666666663
10290;MARCILLY-LE-HAYER;10290;48.387;3.624063636363637
10300;SAINTE-SAVINE;10300;48.2964;3.974166666666666
10310;VILLE-SOUS-LA-FERTÉ;10310;48.1493;4.7997
10320;BOUILLY;10320;48.1967;4.0300400000000005
10330;CHAVANGES;10330;48.501;4.540275
10340;LES RICEYS;10340;48.049;4.294066666666667
10350;MARIGNY-LE-CHÂTEL;10350;48.4029;3.7965714285714287
10360;ESSOYES;10360;48.1002;4.5934
10370;VILLENAUXE-LA-GRANDE;10370;48.5833;3.55
10380;PLANCY-L'ABBAYE;10380;48.5802;3.967275
10390;VERRIÈRES;10390;48.2096;4.170400000000001
10400;NOGENT-SUR-SEINE;10400;48.577;3.5163869565217394
10410;SAINT-PARRES-AUX-TERTRES;10410;48.2884;4.1557
10420;LES NOËS-PRÈS-TROYES;10420;48.3036;4.0455
10430;ROSIÈRES-PRÈS-TROYES;10430;48.2618;4.074
10440;LA RIVIÈRE-DE-CORPS;10440;48.2742;3.99675
10450;BRÉVIANDES;10450;48.2569;4.0953
10500;BRIENNE-LE-CHÂTEAU;10500;48.4393;4.524219444444444
10510;MAIZIÈRES-LA-GRANDE-PAROISSE;10510;48.4661;3.802666666666666
10600;LA CHAPELLE-SAINT-LUC;10600;48.409;4.000166666666667
10700;ARCIS-SUR-AUBE;10700;48.5313;4.149217857142857
10800;SAINT-JULIEN-LES-VILLAS;10800;48.2153;4.109876923076923
11000;CARCASSONNE;11000;43.217;2.38095
